iter	Passed	Remaining
208	2821	10676
209	2834	10662
210	2847	10649
211	2862	10638
212	2875	10624
213	2889	10611
214	2901	10594
215	2914	10577
216	2926	10559
217	2939	10545
218	2952	10529
219	2965	10512
220	2978	10498
221	2991	10482
222	3003	10465
223	3016	10450
224	3030	10437
225	3043	10424
226	3056	10409
227	3069	10394
228	3083	10381
229	3096	10365
230	3109	10351
231	3122	10337
232	3136	10324
233	3149	10311
234	3163	10299
235	3177	10285
236	3191	10276
237	3206	10265
238	3218	10249
239	3231	10233
240	3244	10217
241	3258	10206
242	3273	10197
243	3285	10180
244	3298	10165
245	3312	10152
246	3325	10139
247	3339	10125
248	3351	10108
249	3365	10096
250	3378	10081
251	3391	10068
252	3404	10053
253	3416	10034
254	3430	10022
255	3443	10008
256	3456	9993
257	3469	9979
258	3482	9964
259	3495	9949
260	3509	9936
261	3522	9921
262	3535	9907
263	3548	9892
264	3560	9874
265	3572	9858
266	3586	9845
267	3598	9829
268	3611	9813
269	3625	9802
270	3641	9795
271	3655	9782
272	3668	9768
273	3682	9757
274	3696	9745
275	3708	9727
276	3721	9714
277	3735	9700
278	3748	9687
279	3761	9672
280	3774	9656
281	3787	9643
282	3800	9628
283	3813	9613
284	3826	9600
285	3839	9586
286	3852	9570
287	3865	9556
288	3878	9541
289	3890	9526
290	3903	9510
291	3915	9494
292	3929	9481
293	3942	9466
294	3954	9450
295	3967	9436
296	3979	9420
297	3993	9406
298	4005	9391
299	4018	9376
300	4031	9362
301	4045	9350
302	4059	9338
303	4073	9326
304	4086	9312
305	4099	9298
306	4113	9284
307	4126	9271
308	4139	9257
309	4153	9243
310	4167	9231
311	4180	9217
312	4192	9202
313	4206	9189
314	4218	9172
315	4231	9159
316	4245	9146
317	4258	9133
318	4272	9120
319	4284	9103
320	4297	9089
321	4310	9075
322	4323	9062
323	4335	9046
324	4349	9033
325	4362	9019
326	4374	9003
327	4387	8989
328	4400	8975
329	4413	8960
330	4425	8945
331	4438	8931
332	4451	8916
333	4464	8901
334	4477	8888
335	4490	8873
336	4503	8860
337	4516	8845
338	4529	8831
339	4542	8818
340	4556	8804
341	4569	8791
342	4582	8777
343	4595	8762
344	4607	8748
345	4620	8734
346	4633	8720
347	4646	8704
348	4659	8691
349	4673	8678
350	4686	8664
351	4699	8650
352	4713	8638
353	4725	8624
354	4737	8608
355	4751	8594
356	4764	8580
357	4776	8565
358	4789	8552
359	4803	8539
360	4815	8524
361	4828	8510
362	4842	8497
363	4854	8482
364	4867	8468
365	4880	8454
366	4893	8440
367	4907	8427
368	4920	8414
369	4933	8400
370	4946	8387
371	4959	8372
372	4972	8358
373	4985	8344
374	4998	8330
375	5011	8317
376	5024	8303
377	5036	8288
378	5049	8273
379	5063	8260
380	5076	8247
381	5089	8234
382	5103	8220
383	5116	8207
384	5129	8193
385	5143	8181
386	5156	8168
387	5169	8154
388	5182	8140
389	5196	8127
390	5209	8113
391	5221	8099
392	5234	8085
393	5248	8072
394	5261	8058
395	5274	8045
396	5287	8031
397	5300	8017
398	5313	8004
399	5340	8010
400	5352	7995
401	5364	7979
402	5377	7966
403	5389	7951
404	5403	7938
405	5416	7924
406	5429	7910
